SurfaceLongitude,SurfaceLatitude,BottomHoleLongitude,BottomHoleLatitude,Operator,CompletionDate,Reservoir,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT,HzDistanceToNearestOffsetAtDrill,HzDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetAtDrill,WellDepth,ReservoirThickness,OilInPlace,Porosity,ReservoirPressure,WaterSaturation,StructureDerivative,TotalOrganicCarbon,ClayVolume,CarbonateVolume,Maturity,TotalWellCost_USDMM,CumOil12Month,rowID,CumOil_Category
-101.5760807,31.69946918,-101.5760418,31.69946536,COP,6/24/2017,WOLFCAMP B,10526.0,2212.0,64.0,1066.41,1226.97,58.787,14.657,6570.514,324.183,9008.418,0.041,4155.1964,0.513,0.008,2.1365,0.15,0.356,0.952,6.7686,219366.0313,3322,Medium
-102.463526,32.50956938,-102.463526,32.50956938,SABLE,4/17/2015,WOLFCAMP A,6616.0,1413.0,31.0,15.756,540.474,375.376,354.171,5066.673,,40765.638,0.06,2877.8134,0.3,0.025,3.2782,0.232,0.273,0.9,4.3683,89508.5703,5279,Low
-102.4523951,33.1185384,-102.4523951,33.1185384,ENDVR,11/13/2018,SPRABERRY LOWER SHALE,10021.0,1606.0,43.0,2000.0,862.242,30.24,500.0,5382.652,,23908.956,0.064,2609.9733,0.497,0.009,2.513,0.233,0.123,0.858,5.574,245461.5469,2310,Medium
-102.2910124,32.98774044,-102.2908355,32.9873337,CVX,9/10/2015,SPRABERRY LOWER SHALE,7322.0,1585.0,24.0,2000.0,799.68,500.0,500.0,6163.275,,29265.35,0.056,3040.4936,0.381,0.009,2.5079,0.242,0.144,0.968,3.6638,155861.2344,4868,Low
-101.8259759,31.38447978,-101.8263207,31.38476293,PXD,12/12/2018,WOLFCAMP A,10022.0,1945.0,48.0,427.943,427.943,276.475,276.475,6635.628,,25733.712,0.056,3723.3107,0.332,0.004,2.6584,0.187,0.263,0.974,7.042,255557.7969,4892,High
-102.2243764,31.99406369,-102.2241884,31.99406529,CVX,7/25/2018,SPRABERRY LOWER SHALE,10263.0,,,878.937,878.937,1.885,1.885,6326.124,,13908.245,0.054,3208.8205,0.639,0.015,2.1623,0.228,0.173,0.859,5.6324,253599.6094,4295,High
-101.7651511,32.4635399,-101.7585697,32.4435649,CVX,12/7/2018,SPRABERRY LOWER SHALE,10276.0,2117.0,53.0,879.198,880.641,14.414,2.532,6234.112,,24307.468,0.051,2537.777,0.417,0.011,2.608,0.21,0.234,0.927,5.7657,305836.5,4052,High
-101.9219242,31.64299185,-101.9221526,31.64305215,SEQUITUR,7/14/2015,WOLFCAMP A,7182.0,1148.0,29.0,31.035,31.035,1.302,1.302,5657.423,,28174.9145,0.056,3051.5212,0.444,0.022,1.9928,0.197,0.343,0.817,4.3783,82605.2109,5063,Low
-101.7045774,32.04745959,-101.7043198,32.04749007,APA,3/25/2016,WOLFCAMP B,4988.0,2905.0,16.0,1280.335,1280.335,18.62,18.62,6731.012,448.792,14566.489,0.053,4503.1454,0.568,0.008,2.691,0.147,0.314,0.922,3.7331,49954.4297,680,Low
-102.2476771,31.74133699,-102.2480206,31.74136047,PXD,9/4/2018,WOLFCAMP B,10338.0,1791.0,54.0,329.442,329.442,16.964,314.409,6395.088,283.783,7696.071,0.068,3910.1879,0.74,0.025,2.6795,0.191,0.227,0.925,7.0756,269893.4688,1771,High
-102.2467599,32.10140653,-102.2467659,32.10140637,PXD,4/2/2017,SPRABERRY LOWER SHALE,9126.0,3021.0,55.0,830.343,830.343,4.732,4.732,6464.273,,24972.06,0.056,3085.6403,0.369,0.007,2.4753,0.214,0.158,0.91,8.1899,274283.5,5263,High
-102.4171156,32.87195425,-102.4171984,32.87188891,FANG,4/6/2017,SPRABERRY LOWER SHALE,4825.0,1611.0,39.0,692.647,575.064,45.938,83.138,6277.819,,23849.471,0.057,2968.0135,0.31,0.002,2.7229,0.22,0.086,0.772,3.2388,42246.22,5728,Low
-101.3549982,32.72780013,-101.3549982,32.72780013,SM,10/18/2018,DEAN,10444.0,1853.0,53.0,170.79,170.79,108.856,108.856,5239.347,,12444.468,0.048,2575.1035,0.516,,2.4461,0.2,0.149,0.917,5.657,281853.9688,197,High
-102.0025824,31.67213564,-102.0026081,31.67213743,OVV,11/26/2018,SPRABERRY LOWER SHALE,8138.0,1952.0,47.0,322.158,322.158,238.48,238.48,6254.575,,20293.805,0.049,2828.5927,0.466,0.011,2.1817,0.212,0.135,0.909,4.5656,201231.1094,1834,Low
-102.338386,32.15322327,-102.337843,32.15316668,COP,12/18/2017,SPRABERRY LOWER SHALE,9871.0,2157.0,64.0,277.262,277.262,92.385,92.385,6436.559,,24473.0697,0.055,2975.5476,0.384,0.008,2.4421,0.213,0.158,0.947,6.3362,242215.1563,2607,Medium
-101.1844016,31.02211697,-101.1857292,30.9996573,BIRCH,3/20/2019,SPRABERRY LOWER,7714.0,2544.0,41.0,275.664,275.664,335.269,335.269,4759.762,,4947.383,0.063,1909.8912,0.889,,2.2142,0.183,0.079,0.846,4.752,114361.0,2987,Low
-101.993778,31.7375156,-101.9965703,31.74464547,PXD,8/12/2014,WOLFCAMP A,7052.0,1170.0,32.0,2000.0,735.672,229.178,500.0,6071.7,,11843.334,0.055,3778.1692,0.649,0.007,2.896,0.177,0.286,0.841,4.0554,105336.0,1891,Low
-101.4115726,31.73259066,-101.414136,31.74092029,PXD,10/17/2016,WOLFCAMP C,9907.0,1716.0,55.0,873.987,873.987,10.302,10.302,6655.347,,25028.521,0.063,4650.3646,0.595,,3.0012,0.175,0.304,0.949,6.7493,215480.0,3394,Medium
-102.1800482,32.54514747,-102.1707407,32.52256384,DISCOVERY,10/10/2015,WOLFCAMP B,8560.0,993.0,27.0,344.746,344.746,204.733,204.733,4657.586,538.125,8761.333,0.062,2743.7027,0.813,0.017,3.1238,0.169,0.27,0.79,3.7026,46899.4883,3080,Low
-102.270182,31.97924526,-102.2702031,31.97924125,FANG,10/14/2016,SPRABERRY LOWER SHALE,10495.0,1825.0,41.0,649.322,649.322,48.552,48.552,6386.943,,16579.843,0.046,3303.0709,0.317,0.009,2.5412,0.188,0.151,0.794,6.1096,280585.8125,1783,High
-101.510378,31.75599098,-101.5102101,31.75597763,PXD,5/7/2017,SPRABERRY LOWER SHALE,9574.0,2275.0,39.0,2000.0,2000.0,500.0,500.0,5304.422,,9265.782,0.063,2101.022,0.845,0.011,1.887,0.231,0.131,0.949,6.8502,243241.8594,3382,Medium
-101.1481836,31.55743316,-101.1481555,31.55742265,ENDVR,11/13/2018,SPRABERRY LOWER SHALE,9510.0,1591.0,45.0,346.91,461.088,375.953,395.88,5501.33,,14359.363,0.067,2772.1257,0.685,0.017,2.42,0.225,0.12,0.854,5.3746,228940.2031,2313,Medium
-101.5623776,31.93685852,-101.562186,31.93738122,CVX,11/7/2017,WOLFCAMP B,7082.0,1695.0,59.0,446.153,446.153,296.458,296.458,6970.158,342.238,13660.945,0.061,4394.8772,0.578,0.008,2.9952,0.165,0.225,0.958,4.138,232126.1563,757,Medium
-101.7808785,31.66260933,-101.7809181,31.66261072,SM,3/24/2017,WOLFCAMP B,9693.0,1994.0,64.0,9.514,329.156,120.513,228.018,5859.504,277.203,5800.883,0.05,3517.5542,0.733,0.01,2.7033,0.162,0.263,0.918,5.7338,252570.8906,1606,High
